127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000628
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000620
127.0.0.1, 2016-03-20 23:41:31, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000960
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.024971
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000672
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000753
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 304, 0.003158
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001051
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002242
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002789
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000596
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000507
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000531
127.0.0.1, 2016-03-20 23:41:32, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000493
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.030656
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000624
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000506
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000517
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000501
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 304, 0.000552
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000476
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000482
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000516
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000482
127.0.0.1, 2016-03-20 23:41:33, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000598
127.0.0.1, 2016-03-20 23:44:07, GET, /examples/default/index, HTTP/1.1, 200, 0.174250
127.0.0.1, 2016-03-20 23:44:07, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000761
127.0.0.1, 2016-03-20 23:44:07, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000448
127.0.0.1, 2016-03-20 23:44:07, GET, /examples/static/css/skeleton.css, HTTP/1.1, 200, 0.000636
127.0.0.1, 2016-03-20 23:44:07, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.004554
